category;category_title;path;id;filename;caption;order
faces;Развёртки;faces;6;2023_04_24_Nizhnyaya_Ura_3_front_dem_id6.jpg;надпись 85;2
faces;Развёртки;faces;6;2023_04_24_Nizhnyaya_Ura_3_front_ortho_id6.jpg;надпись 86;1
faces;Развёртки;faces;3;2023_04_24_Staryi_Kishet_left_dem_id3.jpg;надпись 87;2
faces;Развёртки;faces;3;2023_04_24_Staryi_Kishet_left_ortho_id3.jpg;надпись 88;1
faces;Развёртки;faces;3;2023_04_24_Staryi_Kishet_right_dem_id3.jpg;надпись 89;4
faces;Развёртки;faces;3;2023_04_24_Staryi_Kishet_right_ortho_id3.jpg;надпись 90;3
faces;Развёртки;faces;16;2023_04_27_Arsk_back_dem_id16.jpg;надпись 91;4
faces;Развёртки;faces;16;2023_04_27_Arsk_back_ortho_id16.jpg;надпись 92;3
faces;Развёртки;faces;16;2023_04_27_Arsk_front_dem_id16.jpg;надпись 93;2
faces;Развёртки;faces;16;2023_04_27_Arsk_front_ortho_id16.jpg;надпись 94;1
faces;Развёртки;faces;10;2023_04_27_Kachelino_front_dem_id10.jpg;надпись 95;2
faces;Развёртки;faces;10;2023_04_27_Kachelino_front_ortho_id10.jpg;надпись 96;1
faces;Развёртки;faces;15;2023_04_27_Kazylino_front_dem_id15.jpg;надпись 97;2
faces;Развёртки;faces;15;2023_04_27_Kazylino_front_ortho_id15.jpg;надпись 98;1
faces;Развёртки;faces;14;2023_04_27_Nizhnie_Meteski_1_front_dem_id14.jpg;надпись 99;2
faces;Развёртки;faces;14;2023_04_27_Nizhnie_Meteski_1_front_ortho_id14.jpg;надпись 100;1
faces;Развёртки;faces;13;2023_04_27_Nizhnie_Meteski_2_front_dem_id13.jpg;надпись 101;2
faces;Развёртки;faces;13;2023_04_27_Nizhnie_Meteski_2_front_ortho_id13.jpg;надпись 102;1
faces;Развёртки;faces;7;2023_04_27_Stariy_Ashit_1_front_dem_id7.jpg;надпись 103;2
faces;Развёртки;faces;7;2023_04_27_Stariy_Ashit_1_front_ortho_id7.jpg;надпись 104;1
faces;Развёртки;faces;8;2023_04_27_Stariy_Ashit_2_front_dem_id8.jpg;надпись 105;2
faces;Развёртки;faces;8;2023_04_27_Stariy_Ashit_2_front_ortho_id8.jpg;надпись 106;1
faces;Развёртки;faces;9;2023_04_27_Stariy_Ashit_3_back_dem_id9.jpg;надпись 107;2
faces;Развёртки;faces;9;2023_04_27_Stariy_Ashit_3_back_ortho_id9.jpg;надпись 108;1
faces;Развёртки;faces;9;2023_04_27_Stariy_Ashit_3_front_dem_id9.jpg;надпись 109;2
faces;Развёртки;faces;9;2023_04_27_Stariy_Ashit_3_front_ortho_id9.jpg;надпись 110;1
faces;Развёртки;faces;0;2023_04_27_Stariy_Ashit_4_front_dem.jpg;надпись 111;2
faces;Развёртки;faces;0;2023_04_27_Stariy_Ashit_4_front_ortho.jpg;надпись 112;1
faces;Развёртки;faces;0;2023_04_27_Stariy_Ashit_5_front_dem.jpg;надпись 113;2
faces;Развёртки;faces;0;2023_04_27_Stariy_Ashit_5_front_ortho.jpg;надпись 114;1
faces;Развёртки;faces;11;2023_04_27_Tatarskoe_Kadryakovo_1_front_dem_id11.jpg;надпись 115;2
faces;Развёртки;faces;11;2023_04_27_Tatarskoe_Kadryakovo_1_front_ortho_id11.jpg;надпись 116;1
faces;Развёртки;faces;12;2023_04_27_Tatarskoe_Kadryakovo_2_back_dem_id12.jpg;надпись 117;4
faces;Развёртки;faces;12;2023_04_27_Tatarskoe_Kadryakovo_2_back_ortho_id12.jpg;надпись 118;3
faces;Развёртки;faces;12;2023_04_27_Tatarskoe_Kadryakovo_2_front_dem_id12.jpg;надпись 119;2
faces;Развёртки;faces;12;2023_04_27_Tatarskoe_Kadryakovo_2_front_ortho_id12.jpg;надпись 120;1
faces;Развёртки;faces;21;2023_05_03_Srednie_Aty_1_front_dem_id21.jpg;надпись 121;2
faces;Развёртки;faces;21;2023_05_03_Srednie_Aty_1_front_orho_id21.jpg;надпись 122;1
faces;Развёртки;faces;20;2023_05_03_Srednie_Aty_2_back_dem_id20.jpg;надпись 123;4
faces;Развёртки;faces;20;2023_05_03_Srednie_Aty_2_back_ortho_id20.jpg;надпись 124;3
faces;Развёртки;faces;20;2023_05_03_Srednie_Aty_2_front_dem_id20.jpg;надпись 125;2
faces;Развёртки;faces;20;2023_05_03_Srednie_Aty_2_front_ortho_id20.jpg;надпись 126;1
faces;Развёртки;faces;17;2023_05_03_Srednyaya_Serda_1_back_dem_id17.jpg;надпись 127;4
faces;Развёртки;faces;17;2023_05_03_Srednyaya_Serda_1_back_ortho_id17.jpg;надпись 128;3
faces;Развёртки;faces;17;2023_05_03_Srednyaya_Serda_1_front_dem_id17.jpg;надпись 129;2
faces;Развёртки;faces;17;2023_05_03_Srednyaya_Serda_1_front_ortho_id17.jpg;надпись 130;1
faces;Развёртки;faces;18;2023_05_03_Srednyaya_Serda_2_back_dem_id18.jpg;надпись 131;4
faces;Развёртки;faces;18;2023_05_03_Srednyaya_Serda_2_back_ortho_id18.jpg;надпись 132;3
faces;Развёртки;faces;18;2023_05_03_Srednyaya_Serda_2_front_dem_id18.jpg;надпись 133;2
faces;Развёртки;faces;18;2023_05_03_Srednyaya_Serda_2_front_ortho_id18.jpg;надпись 134;1
faces;Развёртки;faces;22;2023_05_03_Srednyaya_Serda_Kladbishe_1_back_dem_id22.jpg;надпись 135;4
faces;Развёртки;faces;22;2023_05_03_Srednyaya_Serda_Kladbishe_1_back_ortho_id22.jpg;надпись 136;3
faces;Развёртки;faces;22;2023_05_03_Srednyaya_Serda_Kladbishe_1_front_dem_id22.jpg;надпись 137;2
faces;Развёртки;faces;22;2023_05_03_Srednyaya_Serda_Kladbishe_1_front_ortho_id22.jpg;надпись 138;1
faces;Развёртки;faces;23;2023_05_03_Srednyaya_Serda_Kladbishe_2_front_dem_id23.jpg;надпись 139;2
faces;Развёртки;faces;23;2023_05_03_Srednyaya_Serda_Kladbishe_2_front_ortho_id23.jpg;надпись 140;1
faces;Развёртки;faces;24;2023_05_03_Srednyaya_Serda_Kladbishe_3_front_dem_id24.jpg;надпись 141;2
faces;Развёртки;faces;24;2023_05_03_Srednyaya_Serda_Kladbishe_3_front_ortho_id24.jpg;надпись 142;1
faces;Развёртки;faces;24;2023_05_03_Srednyaya_Serda_Kladbishe_3_left_dem_id24.jpg;надпись 143;4
faces;Развёртки;faces;24;2023_05_03_Srednyaya_Serda_Kladbishe_3_left_ortho_id24.jpg;надпись 144;3
faces;Развёртки;faces;24;2023_05_03_Srednyaya_Serda_Kladbishe_3_right_dem_id24.jpg;надпись 145;2
faces;Развёртки;faces;24;2023_05_03_Srednyaya_Serda_Kladbishe_3_right_ortho_id24.jpg;надпись 146;1
faces;Развёртки;faces;25;2023_05_03_Srednyaya_Serda_Kladbishe_4_front_dem_id25.jpg;надпись 147;2
faces;Развёртки;faces;25;2023_05_03_Srednyaya_Serda_Kladbishe_4_front_ortho_id25.jpg;надпись 148;1
faces;Развёртки;faces;19;2023_05_03_Verhnie_Aty_back_dem_id19.jpg;надпись 149;4
faces;Развёртки;faces;19;2023_05_03_Verhnie_Aty_back_ortho_id19.jpg;надпись 150;3
faces;Развёртки;faces;19;2023_05_03_Verhnie_Aty_front_dem_id19.jpg;надпись 151;2
faces;Развёртки;faces;19;2023_05_03_Verhnie_Aty_front_ortho_id19.jpg;надпись 152;1
faces;Развёртки;faces;26;2023_05_04_Krasny_1_front_dem_id26.jpg;надпись 153;2
faces;Развёртки;faces;26;2023_05_04_Krasny_1_front_ortho_id26.jpg;надпись 154;1
faces;Развёртки;faces;27;2023_05_04_Krasny_2_front_dem_id27.jpg;надпись 155;2
faces;Развёртки;faces;27;2023_05_04_Krasny_2_front_ortho_id27.jpg;надпись 156;1
faces;Развёртки;faces;40;2023_05_10_Aibash_back_dem_id40.jpg;надпись 157;4
