ID;NAME;Lat;Lon;ADMIN;LOCAL;DATE;FRONT;WHOLE;PLACE;POSITION;YEAR;PERSON;GENDER;DEATH;depth;width;height;DESCRIPTION;TYPE
46;Наласинское кладбище. Надгробие 2;56.10712;49.72988;Арский;Наласа;16;нет;да;кладбище;вертикаль;;;;;9;69;80;;
47;Наласинское кладбище. Надгробие 3;56.10690;49.73049;Арский;Наласа;16;да;да;кладбище;вертикаль;;;;;18;48;113;;
48;Чиршинское надгробие;56.08250;49.22781;Высокогорский;Чирши;15;да;да;кладбище;вертикаль;1485;;;;23;50;102;;
49;Альдермышское надгробие;56.02441;49.23068;Высокогорский;Альдермыш;16;да;да;отдельно;вертикаль;;;;;15;45;45;;
50;Ибринское надгробие 1;56.03044;49.20671;Высокогорский;Ибря;16;да;нет;кладбище;вертикаль;;;;;;;;;
51;Ибринское надгробие 2;56.03061;49.20609;Высокогорский;Ибря;16;да;да;кладбище;горизонталь;;;;;;;;;
52;Русско-татайшинское надгробие 1;56.07869;49.37341;Высокогорский;Русско-Татарская Айша;16;да;нет;кладбище;горизонталь;;;;;;;;;
53;Русско-татайшинское надгробие 2;56.08497;49.37554;Высокогорский;Русско-Татарская Айша;16;да;нет;отдельно;горизонталь;;;;;;;;;
54;Туктамышское надгробие 1;56.07991;49.42812;Высокогорский;Туктамыш;17;да;да;кладбище;вертикаль;;;;;;;;;
55;Туктамышское надгробие 2;56.07985;49.42810;Высокогорский;Туктамыш;16;да;да;кладбище;вертикаль;;;;;;;;;
56;Уньбинское надгробие;56.07640;49.48561;Высокогорский;Уньба;16;нет;нет;отдельно;горизонталь;;;;;;;;;
57;Татайшинское надгробие;56.03804;49.67018;Высокогорский;Татарская Айша;16;да;да;кладбище;вертикаль;;;;;;;;;
58;Пановское надгробие;55.82948;49.93328;Пестречинский;Пановка;16;да;да;отдельно;вертикаль;1545;Тангри-Бирди;м;убит;;;;;
59;Урывкинское надгробие;55.87224;49.95858;Пестречинский;Урывкино;17;да;нет;отдельно;вертикаль;;;;;;;;;
60;Татходяшевское надгробие 3;55.82452;49.83682;Пестречинский;Татарское Ходяшево;16;нет;да;кладбище;вертикаль;;;;;;;;;
61;Татходяшевское надгробие 2;55.82453;49.83675;Пестречинский;Татарское Ходяшево;16;да;да;кладбище;вертикаль;;;;;;;;;
62;Татходяшевское надгробие 1;55.82456;49.83718;Пестречинский;Татарское Ходяшево;16;да;да;кладбище;вертикаль;1519;;;;;;;;
63;Старозюринское надгробие;55.87770;50.35476;Тюлячинский;Старые Зюри;16;да;нет;отдельно;вертикаль;;;;;;;;;
64;Верхнекибякозинское надгробие 1;55.96954;50.17159;Тюлячинский;Верхние Кибя-Кози;14;да;нет;отдельно;вертикаль;;;;;;;;;
65;Верхнекибякозинское надгробие 2;55.96958;50.17160;Тюлячинский;Верхние Кибя-Кози;14;да;нет;отдельно;вертикаль;;;;;;;;;
66;Большешинарское надгробие;55.98523;50.26260;Тюлячинский;Большой Шинар;16;да;нет;отдельно;вертикаль;;;;;;;;;
67;Тямтиметескинское надгробие 3;55.89357;50.14034;Тюлячинский;Тямти-Метески;16;да;да;отдельно;вертикаль;;;;;;;;;
68;Тямтиметескинское надгробие 1;55.88186;50.12571;Тюлячинский;Тямти-Метески;16;да;да;кладбище;вертикаль;;;;;;;;;
69;Тямтиметескинское надгробие 2;55.88184;50.12575;Тюлячинский;Тямти-Метески;16;да;нет;кладбище;горизонталь;;;;;;;;;
70;Чаллынское (Казакларское) надгробие;55.64798;50.68279;Рыбно-Слободский;;16;да;да;кладбище;вертикаль;;;;;;;;;
71;Тямтинское надгробие;55.74391;50.41626;Тюлячинский;Тямти;16;да;да;отдельно;вертикаль;;;;;;;;;
72;Большенырсинское надгробие;55.72564;50.30070;Тюлячинский;Большие Нырси;14;да;да;отдельно;вертикаль;1357;Туктар;м;;;;;;
73;Таутерменьское надгробие;55.75630;50.16297;Тюлячинский;Таутермень;14;да;да;отдельно;вертикаль;;;ж;;;;;;
74;Шадкинское надгробие 1;55.71965;50.19400;Тюлячинский;Шадки;16;да;да;отдельно;вертикаль;;;;;;;;;
75;Шадкинское надгробие 2;55.71964;50.19397;Тюлячинский;Шадки;16;да;нет;отдельно;горизонталь;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
77;Верхнесердинское надгробие 1;56.12303;49.56564;Атнинский;Верхняя Серда;16;да;да;отдельно;вертикаль;;;;;25;54;140;;барельеф
78;Верхнесердинское надгробие 2;56.12301;49.56566;Атнинский;Верхняя Серда;16;да;нет;отдельно;вертикаль;;;;;26;53;80;;барельеф
79;Коморгузинское надгробие 1;56.15510;49.45609;Атнинский;Комургузя;16;да;да;кладбище;вертикаль;;;;;30;56;160;;барельеф
80;Нижнеберескинское надгробие 1;56.23387;49.31499;Атнинский;Нижняя Береске;16;да;нет;кладбище;вертикаль;;;;;15;46;75;;барельеф
81;Староменгерское кладбище. Надгробие 1;56.23754;49.54542;Атнинский;Старый Менгер;16;да;да;кладбище;вертикаль;;;;;21;57;185;;барельеф
82;Староменгерское кладбище. Надгробие 2;56.23750;49.54558;Атнинский;Старый Менгер;16;нет;да;кладбище;вертикаль;;;;;13;48;162;;барельеф
83;Староменгерское кладбище. Надгробие 3;56.23751;49.54563;Атнинский;Старый Менгер;16;да;да;кладбище;вертикаль;;;;;15;50;136;;барельеф
84;Староменгерское кладбище. Надгробие 4;56.23746;49.54550;Атнинский;Старый Менгер;16;нет;да;кладбище;вертикаль;;;;;22;47;112;;барельеф
85;Староменгерское кладбище. Надгробие 5;56.23740;49.54570;Атнинский;Старый Менгер;16;да;да;кладбище;вертикаль;;;;;12;45;90;;барельеф
86;Староменгерское кладбище. Надгробие 6;56.23733;49.54586;Атнинский;Старый Менгер;16;да;да;кладбище;вертикаль;;;;;11;60;97;;барельеф
87;Староменгерское кладбище. Надгробие 7;56.23713;49.54597;Атнинский;Старый Менгер;16;да;нет;кладбище;вертикаль;;;;;21;53;82;;барельеф
88;Староменгерское кладбище. Надгробие 8;56.23734;49.54553;Атнинский;Старый Менгер;16;да;нет;кладбище;вертикаль;;;;;18;44;113;;барельеф
89;Староузюмское кладбище. Надгробие 1;56.33724;49.58248;Атнинский;Старый Узюм;16;да;да;кладбище;вертикаль;;;;;25;54;180;;барельеф
